squaremeters,numberofrooms,hasyard,haspool,floors,citycode,citypartrange,numprevowners,made,isnewbuilt,hasstormprotector,basement,attic,garage,hasstorageroom,hasguestroom,price,hasyard_num,squaremeters_hasyard,squaremeters_numberofrooms,haspool_num,squaremeters_haspool,squaremeters_citycode,citypartrange_num,squaremeters_citypartrange,numprevowners_num,squaremeters_numprevowners,squaremeters_made,isnewbuilt_num,squaremeters_isnewbuilt,hasstormprotector_num,squaremeters_hasstormprotector,squaremeters_basement,squaremeters_attic,squaremeters_garage,hasstorageroom_num,squaremeters_hasstorageroom,hasguestroom_num,squaremeters_hasguestroom,squaremeters_squared,numberofrooms_squared,squaremeters_bin,numprevowners_bin,avg_price_citypart,avg_size_rooms,price_per_sqm,rooms_per_floor
16187,31,1,1,22,16768,4,5,2014,1,1,8179,2845,587,1,1,1626142.4,1,16187,501797,1,16187,271423616,3,48561,4,64748,32600618,1,16187,1,16187,132393473,46052015,9501769,1,16187,1,16187,262018969,961,small,moderate,4932944.709190809,46894.04761904762,100.45977636374869,1.4090909090909092
31616,59,0,1,35,28454,4,7,2008,0,1,4466,5674,790,1,10,3166791.8,0,0,1865344,1,31616,899601664,3,94848,6,189696,63484928,0,0,1,31616,141197056,179389184,24976640,1,31616,10,316160,999571456,3481,medium,many,4932944.709190809,47698.41176470588,100.16421432186235,1.6857142857142857
6551,52,1,1,3,82888,9,4,2018,1,0,5284,4222,267,0,10,662414.8,1,6551,340652,1,6551,542999288,8,52408,3,19653,13219918,1,6551,0,0,34615484,27658322,1749117,0,0,10,65510,42915601,2704,small,moderate,4954626.623069207,52544.26373626374,101.11659288658221,17.333333333333332
34162,76,1,1,78,35560,6,9,2018,1,0,9530,5520,142,1,5,3426173.8,1,34162,2596312,1,34162,1214800720,5,170810,8,273296,68938916,1,34162,0,0,325563860,188574240,4851004,1,34162,5,170810,1167042244,5776,medium,many,4990101.053989638,49569.20430107527,100.29195597447456,0.9743589743589743
23123,64,1,1,24,78425,9,8,2004,1,1,2847,9028,497,0,8,2319772.4,1,23123,1479872,1,23123,1813421275,8,184984,7,161861,46338492,1,23123,1,23123,65831181,208754444,11492131,0,0,8,184984,534673129,4096,small,many,4954626.623069207,48730.85585585586,100.3231587596765,2.6666666666666665
65118,46,1,1,34,83042,4,1,2001,0,1,6403,7699,414,1,5,6521916.1,1,65118,2995428,1,65118,5407528956,3,195354,0,0,130301118,0,0,1,65118,416950554,501343482,26958852,1,65118,5,325590,4240353924,2116,large,few,4932944.709190809,51354.06122448979,100.15535028717098,1.3529411764705883
52287,45,1,1,33,84580,6,6,2003,0,1,4820,8100,422,1,8,5233872.3,1,52287,2352915,1,52287,4422434460,5,261435,5,261435,104730861,0,0,1,52287,252023340,423524700,22065114,1,52287,8,418296,2733930369,2025,large,many,4990101.053989638,55223.88181818182,100.09892133799988,1.3636363636363635
86437,45,1,0,71,94679,8,9,2011,1,0,5509,2903,178,1,8,8651644.1,1,86437,3889665,0,0,8183768723,7,605059,8,691496,173824807,1,86437,0,0,476181433,250926611,15385786,1,86437,8,691496,7471354969,2025,xlarge,many,5082120.242898551,55223.88181818182,100.0919062438539,0.6338028169014085
53662,94,1,1,61,21744,8,2,2013,1,1,1995,8809,766,1,5,5371947.3,1,53662,5044228,1,53662,1166826528,7,375634,1,53662,108021606,1,53662,1,53662,107055690,472708558,41105092,1,53662,5,268310,2879610244,8836,large,few,5082120.242898551,51362.767676767675,100.10710185978904,1.540983606557377
27327,96,0,0,68,75406,10,9,1994,1,1,8888,9168,351,1,9,2739443.4,0,0,2623392,0,0,2060619762,9,245943,8,218616,54490038,1,27327,1,27327,242882376,250533936,9591777,1,27327,9,245943,746764929,9216,medium,many,4978566.710358566,48098.66346153846,100.24676693380174,1.411764705882353
13160,55,1,0,76,67551,6,9,1996,0,1,9049,8653,567,1,0,1323840.6,1,13160,723800,0,0,888971160,5,65800,8,105280,26267360,0,0,1,13160,119084840,113873480,7461720,1,13160,0,0,173185600,3025,small,many,4990101.053989638,58222.87155963303,100.59579027355623,0.7236842105263158
99278,79,1,0,84,9586,3,8,2016,0,0,3816,8870,509,0,3,9937148.6,1,99278,7842962,0,0,951678908,2,198556,7,694946,200144448,0,0,0,0,378844848,880595860,50532502,0,0,3,297834,9856121284,6241,xlarge,many,5026028.922322322,49272.32989690721,100.09416587763653,0.9404761904761905
8493,12,0,1,71,6909,3,1,1990,0,0,2561,3618,758,1,3,856106.0,0,0,101916,1,8493,58678137,2,16986,0,0,16901070,0,0,0,0,21750573,30727674,6437694,1,8493,3,25479,72131049,144,small,few,5026028.922322322,50767.06451612903,100.80136583068409,0.16901408450704225
16101,66,1,1,36,5438,5,1,2013,1,0,1772,6971,115,0,10,1621185.3,1,16101,1062666,1,16101,87557238,4,64404,0,0,32411313,1,16101,0,0,28530972,112240071,1851615,0,0,10,161010,259242201,4356,small,few,5059792.208050436,49749.943181818184,100.68848518725545,1.8333333333333333
1054,53,1,0,9,46200,2,7,2008,0,1,9222,8858,516,1,2,108029.8,1,1054,55862,0,0,48694800,1,1054,6,6324,2116432,0,0,1,1054,9719988,9336332,543864,1,1054,2,2108,1110916,2809,small,many,4931873.412525252,46848.550458715596,102.49506641366224,5.888888888888889
40511,89,1,1,18,14273,7,7,1996,1,0,8694,9598,691,1,8,4060278.6,1,40511,3605479,1,40511,578213503,6,243066,6,243066,80859956,1,40511,0,0,352202634,388824578,27993101,1,40511,8,324088,1641141121,7921,medium,many,5069664.609451219,54611.11111111111,100.22657056108218,4.944444444444445
62060,100,0,0,29,90952,3,9,2010,0,0,1718,1325,629,0,9,6207859.0,0,0,6206000,0,0,5644481120,2,124120,8,496480,124740600,0,0,0,0,106619080,82229500,39035740,0,0,9,558540,3851443600,10000,large,many,5026028.922322322,45976.19298245614,100.0299548823719,3.4482758620689653
35968,13,0,1,72,26340,5,8,2010,1,1,4207,4629,143,1,8,3602388.0,0,0,467584,1,35968,947397120,4,143872,7,251776,72295680,1,35968,1,35968,151317376,166495872,5143424,1,35968,8,287744,1293697024,169,medium,many,5059792.208050436,48462.666666666664,100.1553603202847,0.18055555555555555
89136,37,0,0,84,91205,8,8,2017,1,0,3786,6649,678,0,9,8920113.7,0,0,3298032,0,0,8129648880,7,623952,7,623952,179787312,1,89136,0,0,337468896,592665264,60434208,0,0,9,802224,7945226496,1369,xlarge,many,5082120.242898551,51394.142857142855,100.07307597379285,0.44047619047619047
16416,75,0,0,98,57335,4,3,2012,0,1,9495,7347,554,0,4,1650531.2,0,0,1231200,0,0,941211360,3,49248,2,32832,33028992,0,0,1,16416,155869920,120608352,9094464,0,0,4,65664,269485056,5625,small,moderate,4932944.709190809,45973.42857142857,100.54405458089668,0.7653061224489796
92582,13,1,0,65,62542,8,8,2002,1,1,729,907,558,0,8,9268566.2,1,92582,1203566,0,0,5790263444,7,648074,7,648074,185349164,1,92582,1,92582,67492278,83971874,51660756,0,0,8,740656,8571426724,169,xlarge,many,5082120.242898551,48462.666666666664,100.11196776911278,0.2
91239,99,1,1,28,87820,9,6,2000,1,1,2326,2730,113,0,10,9133551.0,1,91239,9032661,1,91239,8012608980,8,729912,5,456195,182478000,1,91239,1,91239,212221914,249082470,10310007,0,0,10,912390,8324555121,9801,xlarge,many,4954626.623069207,48754.298969072166,100.1057771347779,3.5357142857142856
94257,85,1,0,78,9021,3,1,2011,0,0,7725,8624,887,1,6,9435819.1,1,94257,8011845,0,0,850292397,2,188514,0,0,189550827,0,0,0,0,728135325,812872368,83605959,1,94257,6,565542,8884382049,7225,xlarge,few,5026028.922322322,49544.12871287129,100.10735648280765,1.0897435897435896
6048,100,1,0,43,61339,4,7,1991,1,0,6009,4414,244,0,4,609426.1,1,6048,604800,0,0,370978272,3,18144,6,36288,12041568,1,6048,0,0,36342432,26695872,1475712,0,0,4,24192,36578304,10000,small,many,4932944.709190809,45976.19298245614,100.76489748677248,2.3255813953488373
66222,7,0,1,99,96233,8,2,2001,1,0,6361,9076,140,1,6,6627187.1,0,0,463554,1,66222,6372741726,7,463554,1,66222,132510222,1,66222,0,0,421238142,601030872,9271080,1,66222,6,397332,4385353284,49,large,few,5082120.242898551,47766.854368932036,100.0753088097611,0.0707070707070707
7917,39,0,1,51,877,1,8,2019,1,1,10000,3431,676,1,2,800462.9,0,0,308763,1,7917,6943209,0,0,7,55419,15984423,1,7917,1,7917,79170000,27163227,5351892,1,7917,2,15834,62678889,1521,small,many,4903580.0811871225,45618.045454545456,101.10684602753568,0.7647058823529411
60498,78,0,1,79,48446,5,7,1991,0,0,7002,6802,652,1,5,6058305.1,0,0,4718844,1,60498,2930886108,4,241992,6,362988,120451518,0,0,0,0,423606996,411507396,39444696,1,60498,5,302490,3660008004,6084,large,many,5059792.208050436,50623.70786516854,100.14058481272107,0.9873417721518988
17635,17,1,1,20,12706,1,5,2004,0,0,6956,963,451,0,7,1770551.4,1,17635,299795,1,17635,224070310,0,0,4,70540,35340540,0,0,0,0,122669060,16982505,7953385,0,0,7,123445,310993225,289,small,moderate,4903580.0811871225,45905.11235955056,100.39985256592004,0.85
56414,55,1,0,24,32319,5,1,2004,1,0,576,9972,770,0,7,5646944.4,1,56414,3102770,0,0,1823244066,4,225656,0,0,113053656,1,56414,0,0,32494464,562560408,43438780,0,0,7,394898,3182539396,3025,large,few,5059792.208050436,58222.87155963303,100.09828056865318,2.2916666666666665
55984,92,0,1,51,35375,6,3,1999,0,1,4997,5660,213,0,5,5604992.9,0,0,5150528,1,55984,1980434000,5,279920,2,111968,111912016,0,0,1,55984,279752048,316869440,11924592,0,0,5,279920,3134208256,8464,large,moderate,4990101.053989638,51142.06,100.11776400400115,1.803921568627451
97184,95,0,1,60,41583,2,4,2012,0,1,5927,8522,256,0,8,9725732.2,0,0,9232480,1,97184,4041202272,1,97184,3,291552,195534208,0,0,1,97184,576009568,828202048,24879104,0,0,8,777472,9444729856,9025,xlarge,moderate,4931873.412525252,52252.58585858586,100.07544657556798,1.5833333333333333
17673,92,0,0,51,30693,8,10,2013,1,0,6748,2558,268,1,3,1768662.3,0,0,1625916,0,0,542437389,7,123711,9,159057,35575749,1,17673,0,0,119257404,45207534,4736364,1,17673,3,53019,312334929,8464,small,many,5082120.242898551,51142.06,100.07708368698015,1.803921568627451
87561,32,0,0,34,16616,9,7,1997,0,1,1493,3897,184,1,3,8759873.7,0,0,2801952,0,0,1454913576,8,700488,6,525366,174859317,0,0,1,87561,130728573,341225217,16111224,1,87561,3,262683,7666928721,1024,xlarge,many,4954626.623069207,53083.895833333336,100.04309795456881,0.9411764705882353
69323,36,0,1,51,30468,4,4,2005,1,1,2795,9327,290,1,7,6937072.5,0,0,2495628,1,69323,2112133164,3,207969,3,207969,138992615,1,69323,1,69323,193757785,646575621,20103670,1,69323,7,485261,4805678329,1296,large,moderate,4932944.709190809,51370.21782178218,100.06884439507812,0.7058823529411765
76373,33,0,1,32,69322,10,8,1995,0,1,4171,6097,182,1,6,7641233.5,0,0,2520309,1,76373,5294329106,9,687357,7,534611,152364135,0,0,1,76373,318551783,465646181,13899886,1,76373,6,458238,5832835129,1089,xlarge,many,4978566.710358566,44081.009345794395,100.05150380370026,1.03125
7362,14,0,0,16,13055,4,1,2000,0,0,6445,440,631,1,7,738168.0,0,0,103068,0,0,96110910,3,22086,0,0,14724000,0,0,0,0,47448090,3239280,4645422,1,7362,7,51534,54199044,196,small,few,4932944.709190809,47235.9900990099,100.26731866340668,0.875
15822,15,0,1,16,90599,6,3,1995,1,0,1695,711,829,1,9,1584936.5,0,0,237330,1,15822,1433457378,5,79110,2,31644,31564890,1,15822,0,0,26818290,11249442,13116438,1,15822,9,142398,250335684,225,small,moderate,4990101.053989638,50661.854545454546,100.17295537858678,0.9375
74688,85,0,0,73,82728,5,7,2019,0,1,2289,4926,325,0,3,7475875.9,0,0,6348480,0,0,6178788864,4,298752,6,448128,150795072,0,0,1,74688,170960832,367913088,24273600,0,0,3,224064,5578297344,7225,xlarge,many,5059792.208050436,49544.12871287129,100.09473944944303,1.1643835616438356
15713,12,0,0,68,32542,3,10,2006,0,0,6405,8723,924,1,10,1576682.6,0,0,188556,0,0,511332446,2,31426,9,141417,31520278,0,0,0,0,100641765,137064499,14518812,1,15713,10,157130,246898369,144,small,many,5026028.922322322,50767.06451612903,100.34255711830968,0.17647058823529413
79092,12,1,1,78,42106,3,7,1999,1,0,4549,7974,902,0,3,7920131.9,1,79092,949104,1,79092,3330247752,2,158184,6,474552,158104908,1,79092,0,0,359789508,630679608,71340984,0,0,3,237276,6255544464,144,xlarge,many,5026028.922322322,50767.06451612903,100.13821751883883,0.15384615384615385
51018,88,0,1,73,52753,5,3,1999,1,1,8565,3045,664,0,3,5108683.9,0,0,4489584,1,51018,2691352554,4,204072,2,102036,101984982,1,51018,1,51018,436969170,155349810,33875952,0,0,3,153054,2602836324,7744,large,moderate,5059792.208050436,46142.33720930233,100.13493080873418,1.2054794520547945
19039,60,0,1,63,76684,2,7,2012,1,1,215,1894,806,0,6,1910454.2,0,0,1142340,1,19039,1459986676,1,19039,6,114234,38306468,1,19039,1,19039,4093385,36059866,15345434,0,0,6,114234,362483521,3600,small,many,4931873.412525252,54909.31304347826,100.34425127370135,0.9523809523809523
68660,9,1,1,50,62454,6,9,2018,1,0,8539,226,764,0,10,6875785.8,1,68660,617940,1,68660,4288091640,5,343300,8,549280,138555880,1,68660,0,0,586287740,15517160,52456240,0,0,10,686600,4714195600,81,large,many,4990101.053989638,45551.706666666665,100.14252548791144,0.18
81404,69,1,0,8,39713,7,5,2003,0,0,3559,3535,170,0,3,8145005.3,1,81404,5616876,0,0,3232797052,6,488424,4,325616,163052212,0,0,0,0,289716836,287763140,13838680,0,0,3,244212,6626611216,4761,xlarge,moderate,5069664.609451219,48545.50505050505,100.05657338705714,8.625
84825,30,0,0,68,91913,5,8,2015,1,0,1942,3528,400,0,1,8484171.5,0,0,2544750,0,0,7796520225,4,339300,7,593775,170922375,1,84825,0,0,164730150,299262600,33930000,0,0,1,84825,7195280625,900,xlarge,many,5059792.208050436,52962.299065420564,100.01970527556735,0.4411764705882353
77086,55,0,1,92,27478,9,5,1996,1,1,1357,9576,908,0,7,7714958.6,0,0,4239730,1,77086,2118169108,8,616688,4,308344,153863656,1,77086,1,77086,104605702,738175536,69994088,0,0,7,539602,5942251396,3025,xlarge,moderate,4954626.623069207,58222.87155963303,100.08248709233843,0.5978260869565217
18834,29,0,1,34,3629,10,4,2021,0,1,3958,1012,927,1,6,1887913.1,0,0,546186,1,18834,68348586,9,169506,3,56502,38063514,0,0,1,18834,74544972,19060008,17459118,1,18834,6,113004,354719556,841,small,moderate,4978566.710358566,50130.12359550562,100.23962514601253,0.8529411764705882
30018,49,1,1,29,14808,10,3,2003,1,1,6324,8145,753,1,7,3008092.3,1,30018,1470882,1,30018,444506544,9,270162,2,60036,60126054,1,30018,1,30018,189833832,244496610,22603554,1,30018,7,210126,901080324,2401,medium,moderate,4978566.710358566,48992.79381443299,100.20961756279564,1.6896551724137931
11351,80,0,0,99,5847,7,3,1992,1,0,3688,9267,693,1,2,1139512.2,0,0,908080,0,0,66369297,6,68106,2,22702,22611192,1,11351,0,0,41862488,105189717,7866243,1,11351,2,22702,128845201,6400,small,moderate,5069664.609451219,50473.64772727273,100.38870584089507,0.8080808080808081
80309,44,0,1,50,40668,2,9,2011,0,0,6134,7254,847,1,8,8039284.1,0,0,3533596,1,80309,3266006412,1,80309,8,642472,161501399,0,0,0,0,492615406,582561486,68021723,1,80309,8,642472,6449535481,1936,xlarge,many,4931873.412525252,46489.81914893617,100.10439801267603,0.88
12983,7,1,1,19,71169,9,2,2017,1,0,7650,956,114,0,9,1305339.7,1,12983,90881,1,12983,923987127,8,103864,1,12983,26186711,1,12983,0,0,99319950,12411748,1480062,0,0,9,116847,168558289,49,small,few,4954626.623069207,47766.854368932036,100.54222444735423,0.3684210526315789
31706,12,0,1,86,82841,7,7,2016,0,1,1064,7961,246,0,6,3178060.6,0,0,380472,1,31706,2626556746,6,190236,6,190236,63919296,0,0,1,31706,33735184,252411466,7799676,0,0,6,190236,1005270436,144,medium,many,5069664.609451219,50767.06451612903,100.23530562038731,0.13953488372093023
84568,45,1,1,86,35227,2,6,2021,1,0,6935,7273,236,1,3,8467953.1,1,84568,3805560,1,84568,2979076936,1,84568,5,422840,170911928,1,84568,0,0,586479080,615063064,19958048,1,84568,3,253704,7151746624,2025,xlarge,many,4931873.412525252,55223.88181818182,100.13188321823857,0.5232558139534884
77604,38,0,1,47,67056,1,3,2019,1,0,5010,5814,335,0,9,7767659.9,0,0,2948952,1,77604,5203813824,0,0,2,155208,156682476,1,77604,0,0,388796040,451189656,25997340,0,0,9,698436,6022380816,1444,xlarge,moderate,4903580.0811871225,53917.017857142855,100.09355059017577,0.8085106382978723
23118,75,1,1,81,81723,10,2,2012,1,0,8213,2582,479,0,0,2326378.2,1,23118,1733850,1,23118,1889272314,9,208062,1,23118,46513416,1,23118,0,0,189868134,59690676,11073522,0,0,0,0,534441924,5625,small,few,4978566.710358566,45973.42857142857,100.63059953283157,0.9259259259259259
52851,68,0,0,43,12881,4,6,2021,0,1,3583,6388,145,0,6,5287766.1,0,0,3593868,0,0,680773731,3,158553,5,264255,106811871,0,0,1,52851,189365133,337612188,7663395,0,0,6,317106,2793228201,4624,large,many,4932944.709190809,51759.07142857143,100.05044559232559,1.5813953488372092
69364,24,1,1,2,44116,4,1,1992,0,1,9897,8681,154,0,9,6943393.2,1,69364,1664736,1,69364,3060062224,3,208092,0,0,138173088,0,0,1,69364,686495508,602148884,10682056,0,0,9,624276,4811364496,576,large,few,4932944.709190809,48189.94782608696,100.10081886857736,12.0
53645,57,0,0,14,14088,7,2,2015,1,0,9030,2592,885,0,7,5366189.5,0,0,3057765,0,0,755750760,6,321870,1,53645,108094675,1,53645,0,0,484414350,139047840,47475825,0,0,7,375515,2877786025,3249,large,few,5069664.609451219,45919.9898989899,100.03149408146146,4.071428571428571
37819,91,0,0,93,88724,2,1,2020,0,0,1779,2138,822,0,4,3791037.0,0,0,3441529,0,0,3355452956,1,37819,0,0,76394380,0,0,0,0,67280001,80857022,31087218,0,0,4,151276,1430276761,8281,medium,few,4931873.412525252,47260.33644859813,100.24159813850181,0.978494623655914
61578,47,1,1,35,38455,3,7,1999,1,1,4185,3674,812,0,7,6170525.9,1,61578,2894166,1,61578,2367981990,2,123156,6,369468,123094422,1,61578,1,61578,257703930,226237572,50001336,0,0,7,431046,3791850084,2209,large,many,5026028.922322322,50755.84745762712,100.20666309396213,1.3428571428571427
14443,11,1,1,13,95559,6,1,2000,0,1,5924,944,597,0,3,1452025.0,1,14443,158873,1,14443,1380158637,5,72215,0,0,28886000,0,0,1,14443,85560332,13634192,8622471,0,0,3,43329,208600249,121,small,few,4990101.053989638,48990.29069767442,100.53486117842553,0.8461538461538461
42469,26,0,1,77,74056,4,7,2016,0,0,6642,3604,992,0,9,4258191.6,0,0,1104194,1,42469,3145084264,3,127407,6,254814,85617504,0,0,0,0,282079098,153058276,42129248,0,0,9,382221,1803615961,676,medium,many,4932944.709190809,52845.454545454544,100.26587864089099,0.33766233766233766
12148,71,1,0,63,72752,7,7,1997,0,0,1751,3092,650,1,1,1218447.7,1,12148,862508,0,0,883791296,6,72888,6,72888,24259556,0,0,0,0,21271148,37561616,7896200,1,12148,1,12148,147573904,5041,small,many,5069664.609451219,41453.257731958765,100.30027164965426,1.126984126984127
43552,51,0,0,70,14069,7,5,2021,0,0,8136,590,591,1,7,4357922.1,0,0,2221152,0,0,612733088,6,261312,4,174208,88018592,0,0,0,0,354339072,25695680,25739232,1,43552,7,304864,1896776704,2601,medium,moderate,5069664.609451219,51792.52,100.06250229610579,0.7285714285714285
88589,2,0,0,81,59791,5,8,2001,0,1,3643,7048,201,0,9,8866678.1,0,0,177178,0,0,5296824899,4,354356,7,620123,177266589,0,0,1,88589,322729727,624375272,17806389,0,0,9,797301,7848010921,4,xlarge,many,5059792.208050436,48082.52525252525,100.08779983970922,0.024691358024691357
35133,26,1,0,60,46784,5,6,2005,1,1,5587,8954,727,0,5,3521964.5,1,35133,913458,0,0,1643662272,4,140532,5,175665,70441665,1,35133,1,35133,196288071,314580882,25541691,0,0,5,175665,1234327689,676,medium,many,5059792.208050436,52845.454545454544,100.2466199869069,0.43333333333333335
38502,77,1,1,11,33167,6,10,2010,1,1,8276,6588,407,0,9,3861362.0,1,38502,2964654,1,38502,1276995834,5,192510,9,346518,77389020,1,38502,1,38502,318642552,253651176,15670314,0,0,9,346518,1482404004,5929,medium,many,4990101.053989638,54677.36363636364,100.28990701781726,7.0
77747,50,1,1,72,98938,8,10,2014,0,1,4829,4204,455,0,3,7786197.4,1,77747,3887350,1,77747,7692132686,7,544229,9,699723,156582458,0,0,1,77747,375440263,326848388,35374885,0,0,3,233241,6044596009,2500,xlarge,many,5082120.242898551,51185.91588785047,100.14788223339808,0.6944444444444444
28459,52,0,0,4,50114,1,7,2012,1,1,3570,9363,318,0,6,2846923.2,0,0,1479868,0,0,1426194326,0,0,6,170754,57259508,1,28459,1,28459,101598630,266461617,9049962,0,0,6,170754,809914681,2704,medium,many,4903580.0811871225,52544.26373626374,100.03595347693174,13.0
34668,69,1,1,12,17366,8,7,2002,0,1,3476,7549,503,1,7,3475230.2,1,34668,2392092,1,34668,602044488,7,242676,6,208008,69405336,0,0,1,34668,120505968,261708732,17438004,1,34668,7,242676,1201870224,4761,medium,many,5082120.242898551,48545.50505050505,100.24316949348102,5.75
64335,4,0,0,83,65939,6,9,2020,1,0,7301,6989,802,0,1,6435779.0,0,0,257340,0,0,4242185565,5,321675,8,514680,129956700,1,64335,0,0,469709835,449637315,51596670,0,0,1,64335,4138992225,16,large,many,4990101.053989638,46486.458333333336,100.03542395274734,0.04819277108433735
22875,86,1,0,95,8661,5,7,1994,0,0,6394,2119,542,0,7,2295511.4,1,22875,1967250,0,0,198120375,4,91500,6,137250,45612750,0,0,0,0,146262750,48472125,12398250,0,0,7,160125,523265625,7396,small,many,5059792.208050436,48497.357142857145,100.35022513661202,0.9052631578947369
42242,62,1,1,64,24809,2,7,2019,0,1,8973,7060,683,1,1,4238504.9,1,42242,2619004,1,42242,1047981778,1,42242,6,253452,85286598,0,0,1,42242,379037466,298228520,28851286,1,42242,1,42242,1784386564,3844,medium,many,4931873.412525252,49971.87209302326,100.33864163628617,0.96875
99872,60,0,0,27,53068,7,6,1992,0,1,1440,2261,683,0,9,9989326.2,0,0,5992320,0,0,5300007296,6,599232,5,499360,198945024,0,0,1,99872,143815680,225810592,68212576,0,0,9,898848,9974416384,3600,xlarge,many,5069664.609451219,54909.31304347826,100.0212892502403,2.2222222222222223
51963,42,1,0,7,33917,2,8,2020,0,0,7115,4146,312,1,9,5200015.0,1,51963,2182446,0,0,1762429071,1,51963,7,363741,104965260,0,0,0,0,369716745,215438598,16212456,1,51963,9,467667,2700153369,1764,large,many,4931873.412525252,45301.42222222222,100.07149317783808,6.0
49411,29,0,1,8,21931,10,3,2002,0,1,3249,3056,969,0,1,4944414.2,0,0,1432919,1,49411,1083632641,9,444699,2,98822,98920822,0,0,1,49411,160536339,151000016,47879259,0,0,1,49411,2441446921,841,medium,moderate,4978566.710358566,50130.12359550562,100.06707413329016,3.625
37852,1,0,1,77,92714,1,4,2009,0,0,846,3972,419,0,3,3790538.9,0,0,37852,1,37852,3509410328,0,0,3,113556,76044668,0,0,0,0,32022792,150348144,15859988,0,0,3,113556,1432773904,1,medium,moderate,4903580.0811871225,45219.70114942529,100.14104670823205,0.012987012987012988
11694,95,1,1,64,80456,8,6,2021,1,0,2573,8253,294,1,8,1185882.1,1,11694,1110930,1,11694,940852464,7,81858,5,58470,23633574,1,11694,0,0,30088662,96510582,3438036,1,11694,8,93552,136749636,9025,small,many,5082120.242898551,52252.58585858586,101.40944929023432,1.484375
71593,92,0,0,34,82914,5,1,2005,1,1,1418,4282,547,1,7,7160694.5,0,0,6586556,0,0,5936062002,4,286372,0,0,143543965,1,71593,1,71593,101518874,306561226,39161371,1,71593,7,501151,5125557649,8464,large,few,5059792.208050436,51142.06,100.01947816127274,2.7058823529411766
14639,94,1,0,99,45011,7,8,2021,0,0,4267,9266,423,1,2,1467522.1,1,14639,1376066,0,0,658916029,6,87834,7,102473,29585419,0,0,0,0,62464613,135644974,6192297,1,14639,2,29278,214300321,8836,small,many,5069664.609451219,51362.767676767675,100.24742810301251,0.9494949494949495
17723,48,1,1,82,28332,2,2,2007,1,1,2154,471,631,0,5,1781409.7,1,17723,850704,1,17723,502128036,1,17723,1,17723,35570061,1,17723,1,17723,38175342,8347533,11183213,0,0,5,88615,314104729,2304,small,few,4931873.412525252,51258.17346938775,100.51400440106076,0.5853658536585366
88759,85,0,1,94,69450,2,8,2012,0,1,2261,3832,156,0,7,8882062.2,0,0,7544515,1,88759,6164312550,1,88759,7,621313,178583108,0,0,1,88759,200684099,340124488,13846404,0,0,7,621313,7878160081,7225,xlarge,many,4931873.412525252,49544.12871287129,100.06942619903333,0.9042553191489362
59260,39,1,1,35,94035,2,1,2018,1,1,1832,1087,452,0,10,5932371.8,1,59260,2311140,1,59260,5572514100,1,59260,0,0,119586680,1,59260,1,59260,108564320,64415620,26785520,0,0,10,592600,3511747600,1521,large,few,4931873.412525252,45618.045454545456,100.10752278096524,1.1142857142857143
25333,24,0,1,16,5799,5,2,2013,0,0,6852,5762,622,1,1,2538258.3,0,0,607992,1,25333,146906067,4,101332,1,25333,50995329,0,0,0,0,173581716,145968746,15757126,1,25333,1,25333,641760889,576,medium,few,5059792.208050436,48189.94782608696,100.19572494374925,1.5
81572,26,0,0,86,18797,1,2,1995,1,0,7330,4461,643,0,6,8163755.5,0,0,2120872,0,0,1533308884,0,0,1,81572,162736140,1,81572,0,0,597922760,363892692,52450796,0,0,6,489432,6653991184,676,xlarge,few,4903580.0811871225,52845.454545454544,100.08036458588731,0.3023255813953488
89167,93,1,0,49,36323,3,6,2013,1,1,1458,6354,924,0,10,8923665.3,1,89167,8292531,0,0,3238812941,2,178334,5,445835,179493171,1,89167,1,89167,130005486,566567118,82390308,0,0,10,891670,7950753889,8649,xlarge,many,5026028.922322322,45975.0,100.07811522199918,1.8979591836734695
59108,38,0,0,84,54889,10,3,1992,0,0,3231,6000,651,1,3,5913599.2,0,0,2246104,0,0,3244379012,9,531972,2,118216,117743136,0,0,0,0,190977948,354648000,38479308,1,59108,3,177324,3493755664,1444,large,moderate,4978566.710358566,53917.017857142855,100.04735737971171,0.4523809523809524
76932,16,0,0,80,78108,7,9,2010,1,0,2074,6389,236,1,10,7698911.0,0,0,1230912,0,0,6009004656,6,461592,8,615456,154633320,1,76932,0,0,159556968,491518548,18155952,1,76932,10,769320,5918532624,256,xlarge,many,5069664.609451219,49636.40909090909,100.0742343888109,0.2
98250,45,1,0,13,51326,3,10,2002,1,0,6344,7783,869,1,6,9830956.2,1,98250,4421250,0,0,5042779500,2,196500,9,884250,196696500,1,98250,0,0,623298000,764679750,85379250,1,98250,6,589500,9653062500,2025,xlarge,many,5026028.922322322,55223.88181818182,100.06062290076335,3.4615384615384617
55429,85,0,1,16,49044,2,4,2011,1,1,4549,1165,130,0,9,5547619.1,0,0,4711465,1,55429,2718459876,1,55429,3,166287,111467719,1,55429,1,55429,252146521,64574785,7205770,0,0,9,498861,3072374041,7225,large,moderate,4931873.412525252,49544.12871287129,100.08513774378032,5.3125
39750,46,0,1,41,43216,2,7,2012,0,1,7936,2091,888,0,10,3982103.2,0,0,1828500,1,39750,1717836000,1,39750,6,238500,79977000,0,0,1,39750,315456000,83117250,35298000,0,0,10,397500,1580062500,2116,medium,many,4931873.412525252,51354.06122448979,100.17869685534592,1.1219512195121952
